No,Date,Time,Ride Distance (km),Vehicle Type,Pickup Date,Pickup Time,Dropoff Date,Dropoff Time,Promo Value,Fare,Paid,Hour,Minute,Class,Day,Saving
1,10-Sep-19,8:33:50,6.53,GrabBike, 10 Sep 2019,  8:37:43 ,10-Sep-19, 9:02:26 ,7000,10000,7000,8,33,MURAH,Tue,3000
2,11-Sep-19,18:38:46,4.35,GrabCar, 11 Sep 2019, 18:45:11,11-Sep-19, 19:02:29 ,12000,19000,12000,18,38,SEDANG,Wed ,7000
3,12-Sep-19,8:53:58,7.31,GrabCar,12-Sep-19, 9:00:01 , 12 Sep 2019,9:48:11,12000,28000,12000,8,53,SEDANG,Thu,16000
4,16-Sep-19,8:09:39,7.47,GrabCar,16-Sep-19,8:15:12, 16 Sep 2019,  9:12:18,12000,21000,12000,8,9,SEDANG,Mon ,9000
5,16-Sep-19,19:28:49,2.96,GrabCar, 16 Sep 2019, 19:32:47,16-Sep-19,  19:44:50,12000,2000,2000,19,28,MURAH,Mon,0
6,18-Sep-19,8:41:19,7.47,GrabCar,18-Sep-19, 8:45:33 ,18-Sep-19, 9:37:40 ,12000,23000,12000,8,41,SEDANG,Wed ,11000
7,18-Sep-19,17:45:24,4.26,GrabBike,18-Sep-19, 17:53:11 , 18 Sep 2019, 18:09:12,10000,1000,1000,17,45,MURAH,Wed ,0
8,19-Sep-19,8:22:51,6.26,GrabBike,19-Sep-19, 8:24:39 ,19-Sep-19, 8:45:38,11000,5000,5000,8,22,MURAH,Thu ,0
9,19-Sep-19,17:36:05,4.71,GrabBike,19-Sep-19,  17:50:14 , 19 Sep 2019,  18:17:00,11000,13000,11000,17,36,MURAH,Thu ,2000
10,22-Sep-19,21:14:52,21.35,GrabCar,22-Sep-19,  21:20:17 ,22-Sep-19,21:53:48,12000,68000,12000,21,14,MAHAL,Sun,56000
11,23-Sep-19,8:28:38,6.43,GrabBike, 23 Sep 2019,  8:32:42 ,23-Sep-19,  8:52:13,10000,7000,7000,8,28,MURAH,Mon ,0
12,23-Sep-19,17:50:32,4.26,GrabBike, 23 Sep 2019, 17:59:41 ,23-Sep-19,18:14:06,10000,1000,1000,17,50,MURAH,Mon ,0
13,24-Sep-19,17:56:19,4.26,GrabBike,24-Sep-19, 18:11:20 ,24-Sep-19,  18:36:26,10000,12000,10000,17,56,MURAH,Tue,2000
14,25-Sep-19,17:14:37,2.67,GrabCar,25-Sep-19, 17:19:43 ,25-Sep-19,17:46:58,0,22000,22000,17,14,SEDANG,Wed ,0
15,26-Sep-19,8:52:04,7.47,GrabCar,26-Sep-19,  8:57:19 ,26-Sep-19,  9:37:50,0,37000,37000,8,52,MAHAL,Thu,0
16,26-Sep-19,17:51:40,4.3,GrabBike,26-Sep-19, 18:01:27 , 26 Sep 2019,18:14:03,10000,1000,1000,17,51,MURAH,Thu ,0
17,27-Sep-19,8:22:22,6.29,GrabBike,27-Sep-19,  8:26:40 ,27-Sep-19, 8:43:29,10000,6000,6000,8,22,MURAH,Fri ,0
18,30-Sep-19,12:07:21,1.54,GrabCar,30-Sep-19, 12:24:13 ,30-Sep-19, 12:27:52,9000,10000,9000,12,7,MURAH,Mon ,1000
19,30-Sep-19,13:28:32,1.88,GrabCar, 30 Sep 2019, 13:33:29 ,30-Sep-19,  13:38:26,9000,10000,9000,13,28,MURAH,Mon ,1000
20,1-Oct-19,8:39:15,6.43,GrabBike,1-Oct-19, 8:43:36 ,1-Oct-19, 9:03:57,7000,10000,7000,8,39,MURAH,Tue,3000
21,1-Oct-19, 12:52:26,1.37,GrabCar, 1 Oct 2019, 12:57:09 , 1 Oct 2019,  13:01:42,7000,12000,7000,12,52,MURAH,Tue,5000
22,1-Oct-19,17:17:49,6.5,GrabCar, 1 Oct 2019,  17:23:00 ,1-Oct-19,  17:53:50,7000,27000,7000,17,17,SEDANG,Tue,20000
23,2-Oct-19,8:39:46,7.47,GrabCar,2-Oct-19,  8:44:43 , 2 Oct 2019,  9:15:21 ,7000,28000,7000,8,39,SEDANG,Wed ,21000
24,2-Oct-19,17:51:09,4.26,GrabBike,2-Oct-19, 17:55:55 , 2 Oct 2019,  18:08:27 ,7000,4000,4000,17,51,MURAH,Wed ,0
25,3-Oct-19,6:51:40,15.6,GrabCar, 3 Oct 2019,  7:03:26 , 3 Oct 2019,  7:42:05 ,7000,56000,7000,6,51,MAHAL,Thu,49000
26,3-Oct-19, 10:51:07,25.81,GrabCar,3-Oct-19,10:53:37, 3 Oct 2019, 11:39:51 ,7000,95000,7000,10,51,MAHAL,Thu ,88000
27,3-Oct-19,15:38:12,6.04,GrabCar,3-Oct-19, 15:44:26 ,3-Oct-19,  16:15:50 ,7000,28000,7000,15,38,SEDANG,Thu ,21000
28,3-Oct-19,16:33:44,9.68,GrabCar,3-Oct-19,  16:38:30 , 3 Oct 2019, 17:26:46,7000,43000,7000,16,33,MAHAL,Thu ,36000
29,4-Oct-19,7:22:03,15.53,GrabCar,4-Oct-19, 7:30:38 , 4 Oct 2019,  7:58:40 ,0,62000,62000,7,22,MAHAL,Fri,0
30,4-Oct-19, 12:11:13,1.79,GrabCar,4-Oct-19, 12:22:05 ,4-Oct-19, 12:26:48 ,0,17000,17000,12,11,SEDANG,Fri,0
31,4-Oct-19,18:56:53,15.7,GrabCar,4-Oct-19, 19:11:52 ,4-Oct-19, 20:08:10 ,0,88000,88000,18,56,MAHAL,Fri ,0
32,7-Oct-19,7:04:05,15.25,GrabCar,7-Oct-19, 7:11:55 , 7 Oct 2019,  7:53:26 ,0,57000,57000,7,4,MAHAL,Mon ,0
33,7-Oct-19,20:17:37,17.63,GrabCar, 7 Oct 2019, 20:24:59 ,7-Oct-19,  21:08:51 ,0,65000,65000,20,17,MAHAL,Mon ,0
34,8-Oct-19,7:10:29,15.27,GrabCar,8-Oct-19,  7:20:10 ,8-Oct-19, 7:59:56 ,0,57000,57000,7,10,MAHAL,Tue,0
35,8-Oct-19,18:12:10,15.69,GrabCar, 8 Oct 2019, 18:18:33 ,8-Oct-19,  19:11:25 ,0,68000,68000,18,12,MAHAL,Tue,0
36,9-Oct-19,7:14:29,15.28,GrabCar, 9 Oct 2019,  7:18:13 ,9-Oct-19, 8:04:46 ,0,57000,57000,7,14,MAHAL,Wed,0
37,9-Oct-19,18:11:26,15.69,GrabCar, 9 Oct 2019,  18:20:02 ,9-Oct-19,  19:17:14 ,0,72000,72000,18,11,MAHAL,Wed,0
38,10-Oct-19,7:57:39,3.57,GrabCar,10-Oct-19, 8:02:58 , 10 Oct 2019,8:17:15,0,20000,20000,7,57,SEDANG,Thu ,0
39,10-Oct-19,17:49:02,3.79,GrabCar,10-Oct-19, 17:56:35 ,10-Oct-19,  18:09:27 ,0,46000,46000,17,49,MAHAL,Thu ,0
40,11-Oct-19,7:05:21,15.53,GrabCar,11-Oct-19,  7:14:28 ,11-Oct-19,7:47:40,0,62000,62000,7,5,MAHAL,Fri ,0
41,11-Oct-19,8:21:18,6.17,GrabCar, 11 Oct 2019, 8:26:06 ,11-Oct-19,  8:57:16 ,0,33000,33000,8,21,MAHAL,Fri ,0
42,11-Oct-19,18:17:12,20.04,GrabCar,11-Oct-19,  18:24:03 ,11-Oct-19, 19:32:20 ,0,110000,110000,18,17,MAHAL,Fri ,0
43,13-Oct-19,19:21:38,21.6,GrabCar,13-Oct-19, 7:28:50 ,13-Oct-19, 20:08:41 ,9000,73000,9000,19,21,MAHAL,Sun,64000
44,14-Oct-19,8:37:36,5.64,GrabBike,14-Oct-19,  8:39:32 ,14-Oct-19,  8:57:31 ,7000,8000,7000,8,37,MURAH,Mon ,1000
45,14-Oct-19,17:36:50,4.26,GrabBike, 14 Oct 2019,  17:40:01 ,14-Oct-19, 17:52:01 ,7000,4000,4000,17,36,MURAH,Mon ,0
46,15-Oct-19,8:21:56,6.17,GrabCar, 15 Oct 2019,  8:26:59 ,15-Oct-19, 9:04:41 ,9000,23000,9000,8,21,SEDANG,Tue ,14000
47,16-Oct-19,8:41:48,6.17,GrabCar,16-Oct-19,  8:45:15 ,16-Oct-19,  9:30:13 ,7000,25000,7000,8,41,SEDANG,Wed ,18000
48,17-Oct-19,8:54:42,6.17,GrabCar,17-Oct-19, 9:00:16 ,17-Oct-19, 9:29:51 ,7000,27000,7000,8,54,SEDANG,Thu,20000
49,21-Oct-19,6:57:45,15.6,GrabCar,21-Oct-19, 7:05:19 ,21-Oct-19,  7:50:13 ,7000,52000,7000,6,57,MAHAL,Mon,45000
50,21-Oct-19,8:27:47,5.65,GrabBike,21-Oct-19, 8:29:53 ,21-Oct-19, 8:51:22 ,7000,8000,7000,8,27,MURAH,Mon ,1000
51,21-Oct-19,18:39:27,4.27,GrabBike,21-Oct-19, 18:41:55 ,21-Oct-19, 18:54:24 ,7000,4000,4000,18,39,MURAH,Mon ,0
52,21-Oct-19,18:57:58,15.69,GrabCar, 21 Oct 2019,  19:05:34 ,21-Oct-19, 19:48:30,7000,59000,7000,18,57,MAHAL,Mon ,52000
53,22-Oct-19,7:25:31,15.27,GrabCar,22-Oct-19, 7:35:04 ,22-Oct-19, 8:14:16 ,7000,52000,7000,7,25,MAHAL,Tue ,45000
54,22-Oct-19,8:22:39,5.83,GrabBike, 22 Oct 2019, 8:27:55 ,22-Oct-19,  8:48:07 ,7000,8000,7000,8,22,MURAH,Tue ,1000
55,23-Oct-19,8:53:38,6.17,GrabCar,23-Oct-19,  8:57:34 ,23-Oct-19, 9:32:29 ,7000,25000,7000,8,53,SEDANG,Wed,18000
56,24-Oct-19,8:36:30,6.17,GrabCar, 24 Oct 2019, 8:45:41 ,24-Oct-19,  9:15:26 ,7000,24000,7000,8,36,SEDANG,Thu ,17000
57,24-Oct-19,15:29:40,3.3,GrabCar,24-Oct-19, 15:40:01 ,24-Oct-19, 16:04:01 ,0,23000,23000,15,29,SEDANG,Thu ,0
58,25-Oct-19,8:03:17,6.17,GrabCar,25-Oct-19, 8:08:06 ,25-Oct-19,  8:38:44 ,8000,22000,8000,8,3,SEDANG,Fri ,14000
59,25-Oct-19,17:39:58,4.34,GrabBike,25-Oct-19, 17:48:08 ,25-Oct-19, 18:10:10 ,7000,4000,4000,17,39,MURAH,Fri ,0
60,28-Oct-19,8:37:41,5.79,GrabBike,28-Oct-19, 8:41:02 ,28-Oct-19,  9:02:27 ,0,15000,15000,8,37,MURAH,Mon ,0
61,29-Oct-19,8:55:44,6.17,GrabCar,29-Oct-19,  9:00:50 ,29-Oct-19, 9:46:11 ,7000,25000,7000,8,55,SEDANG,Tue ,18000
